Year,_Item Type,_Path,Title,Aircraft Deps (000),Aircraft KMs (mils),ASKs (mils),Cargo RTKs (mils),Freight RTKs (mils),Freight Tonnes (mils),Mail RTKs (mils),NetMargin,NetProfit (mils),Number of Records,OpProfit (mils),OpRevenues (mils),Pax (mils),PLF,RPKs (mils)
1947,Item,Lists/Annual Results World Airlines,1947,,1140,,400,270,,130,-0.128571429,-135,1,-120,1050,21,,19000
1948,Item,Lists/Annual Results World Airlines,1948,,1270,,590,420,,170,-0.054896142,-74,1,-49,1348,24,,21000
1949,Item,Lists/Annual Results World Airlines,1949,,1350,,760,570,,190,-0.030064424,-42,1,-9,1397,27,,24000
1950,Item,Lists/Annual Results World Airlines,1950,,1440,46000,930,730,,200,-0.006480881,-10,1,41,1543,31,0.608695652,28000
1951,Item,Lists/Annual Results World Airlines,1951,,1620,55000,1100,870,,230,-0.011640798,-21,1,24,1804,42,0.636363636,35000
1952,Item,Lists/Annual Results World Airlines,1952,,1780,64000,1200,940,,260,-0.021951220,-45,1,-13,2050,46,0.625,40000
1953,Item,Lists/Annual Results World Airlines,1953,,1950,75000,1270,990,,280,-0.022471910,-52,1,-3,2314,53,0.626666667,47000
1954,Item,Lists/Annual Results World Airlines,1954,,2060,86000,1370,1040,,330,-0.012890625,-33,1,32,2560,59,0.604651163,52000
1955,Item,Lists/Annual Results World Airlines,1955,,2290,99000,1610,1240,,370,-0.003636364,-11,1,78,3025,68,0.616161616,61000
1956,Item,Lists/Annual Results World Airlines,1956,,2540,114000,1800,1400,,400,0.004273504,15,1,84,3510,77,0.622807018,71000
1957,Item,Lists/Annual Results World Airlines,1957,,2840,133000,1960,1530,,430,-0.016620499,-66,1,-41,3971,86,0.616541353,82000
1958,Item,Lists/Annual Results World Airlines,1958,,2930,146000,2040,1570,,470,-0.011159631,-46,1,15,4122,88,0.582191781,85000
1959,Item,Lists/Annual Results World Airlines,1959,,3090,162000,2350,1830,,520,-0.005202914,-25,1,105,4805,98,0.604938272,98000
1960,Item,Lists/Annual Results World Airlines,1960,6600,3110,184000,2650,2040,,610,-0.018063315,-97,1,32,5370,106,0.592391304,109000
1961,Item,Lists/Annual Results World Airlines,1961,6600,3120,212000,3080,2360,,720,-0.022950820,-133,1,-118,5795,111,0.551886792,117000
