,Country (Subdivision)or Territory,City,Airport,Notes,Refs
0,Antigua and Barbuda,Osbourn,V. C. Bird International Airport,,[1][3]
1,Aruba,Oranjestad,Queen Beatrix International Airport,,[1]
2,Bahamas,Nassau,Lynden Pindling International Airport,,[1]
3,Barbados,Bridgetown,Grantley Adams International Airport,,[1]
4,Bermuda,Hamilton,L.F. Wade International Airport,,[1]
5,Canada (British Columbia),Vancouver,Vancouver International Airport,,[4]
6,Cayman Islands,Grand Cayman,Owen Roberts International Airport,,[1]
7,Colombia,Bogotá,El Dorado International Airport,,[1]
8,Colombia,Medellín,José María Córdova International Airport,,[1][5]
9,Colombia,Cartagena,Rafael Núñez International Airport,,[1]
10,Costa Rica,Liberia,Daniel Oduber Quirós International Airport,,[1]
11,Costa Rica,San José,Juan Santamaría International Airport,,[1]
12,Cuba,Camagüey,Ignacio Agramonte International Airport,Terminated,[6]
13,Cuba,Havana,José Martí International Airport,,[1][7]
14,Cuba,Holguín,Frank País Airport,Terminated,[6]
15,Cuba,Santa Clara,Abel Santamaria Airport,Terminated,[6]
16,Curaçao,Willemstad,Hato International Airport,,[1]
17,Dominican Republic,La Romana,La Romana International Airport,Terminated,[8]
18,Dominican Republic,Puerto Plata,Gregorio Luperón International Airport,,[1]
19,Dominican Republic,Punta Cana,Punta Cana International Airport,,[1]
20,Dominican Republic,Santiago de los Caballeros,Cibao International Airport,,[1]
21,Dominican Republic,Santo Domingo,Las Américas International Airport,,[1]
22,Ecuador,Guayaquil,José Joaquín de Olmedo International Airport,,[1][9]
23,Ecuador,Quito,Mariscal Sucre International Airport,,[1][10]
24,Grenada,St. George's,Maurice Bishop International Airport,,[1][11]
25,Guadeloupe,Pointe-à-Pitre,Pointe-à-Pitre International Airport,,[1][12]
26,Guatemala,Guatemala City,La Aurora International Airport,,[13]
27,Guyana,Georgetown,Cheddi Jagan International Airport,,[1][14]
28,Haiti,Port-au-Prince,Toussaint Louverture International Airport,,[1]
29,Jamaica,Kingston,Norman Manley International Airport,,[1]
30,Jamaica,Montego Bay,Sangster International Airport,,[1]
31,Mexico,Cancún,Cancún International Airport,,[1]
32,Mexico,Los Cabos,Los Cabos International Airport,,[15]
33,Mexico,Mexico City,Mexico City International Airport,Terminated,[16]
34,Peru,Lima,Jorge Chávez International Airport,,[1]
35,Puerto Rico,Aguadilla,Rafael Hernández Airport,,[1]
36,Puerto Rico,Ponce,Mercedita Airport,,[1]
37,Puerto Rico,San Juan,Luis Muñoz Marín International Airport,Focus city,[1]
38,Saint Lucia,Vieux Fort,Hewanorra International Airport,,[1]
39,Sint Maarten,Philipsburg,Princess Juliana International Airport,,[1]
40,Trinidad and Tobago,Port of Spain,Piarco International Airport,,[1]
41,Turks and Caicos Islands,Providenciales,Providenciales International Airport,,[1]
42,United Kingdom,London,Gatwick Airport,,[17]
43,United Kingdom,London,Heathrow Airport,,[17]
44,United States (Alaska),Anchorage,Ted Stevens Anchorage International Airport,Terminated,
45,United States (Arizona),Phoenix,Phoenix Sky Harbor International Airport,,[1]
46,United States (California),Burbank,Hollywood Burbank Airport,,[1]
47,United States (California),Long Beach,Long Beach Airport,Terminated,[18]
48,United States (California),Los Angeles,Los Angeles International Airport,Focus city,[1][18]
49,United States (California),Oakland,Oakland International Airport,Terminated,[19]
50,United States (California),Ontario,Ontario International Airport,,[20][21]
51,United States (California),Palm Springs,Palm Springs International Airport,Seasonal,[1][22]
52,United States (California),Sacramento,Sacramento International Airport,,[1]
53,United States (California),San Diego,San Diego International Airport,,[1]
54,United States (California),San Francisco,San Francisco International Airport,,[1]
55,United States (California),San Jose (CA),San Jose International Airport,,[1]
56,United States (Colorado),Denver,Denver International Airport,,[1]
57,United States (Colorado),Montrose,Montrose Regional Airport,Seasonal,[1][23]
58,United States (Colorado),Steamboat Springs,Yampa Valley Regional Airport,Seasonal,[1][24]
59,United States (Connecticut),Hartford,Bradley International Airport,,[1]
60,United States (District of Columbia),"Washington, D.C.",Ronald Reagan Washington National Airport,,[1]
61,United States (District of Columbia),"Washington, D.C.",Washington Dulles International Airport,Terminated,[25]
62,United States (Florida),Daytona Beach,Daytona Beach International Airport,Terminated,[26][27]
63,United States (Florida),Fort Lauderdale,Fort Lauderdale–Hollywood International Airport,Focus city,[1][28]
64,United States (Florida),Fort Myers,Southwest Florida International Airport,,[1]
65,United States (Florida),Jacksonville,Jacksonville International Airport,,[1]
66,United States (Florida),Key West,Key West Airport,,[29]
67,United States (Florida),Miami,Miami International Airport,,[30]
68,United States (Florida),Orlando,Orlando International Airport,Focus city,[1][28]
69,United States (Florida),Sarasota,Sarasota–Bradenton International Airport,,[1]
70,United States (Florida),Tampa,Tampa International Airport,,[1]
71,United States (Florida),West Palm Beach,Palm Beach International Airport,,[1]
72,United States (Georgia),Atlanta,Hartsfield–Jackson Atlanta International Airport,,[1][31][32]
73,United States (Georgia),Savannah,Savannah/Hilton Head International Airport,,[1]
74,United States (Idaho),Boise,Boise Airport,,[33]
75,United States (Illinois),Chicago,O'Hare International Airport,,[1]
76,United States (Louisiana),New Orleans,Louis Armstrong International Airport,,[1]
77,United States (Maine),Portland (ME),Portland International Jetport,,[1]
78,United States (Maryland),Baltimore,Baltimore–Washington International Airport,,[1]
79,United States (Massachusetts),Boston,Logan International Airport,Focus city,[1]
80,United States (Massachusetts),Hyannis,Barnstable Municipal Airport,Seasonal,[1]
81,United States (Massachusetts),Martha's Vineyard,Martha's Vineyard Airport,Seasonal,[1]
82,United States (Massachusetts),Nantucket,Nantucket Memorial Airport,Seasonal,[1]
83,United States (Massachusetts),Worcester,Worcester Regional Airport,,[34][35]
84,United States (Michigan),Detroit,Detroit Metropolitan Airport,,[1]
85,United States (Minnesota),Minneapolis,Minneapolis–Saint Paul International Airport,,[1]
86,United States (Montana),Bozeman,Bozeman Yellowstone International Airport,Seasonal,[1]
87,United States (Montana),Kalispell,Glacier Park International Airport,,[36]
88,United States (Nevada),Las Vegas,Harry Reid International Airport,,[1]
89,United States (Nevada),Reno,Reno–Tahoe International Airport,,[1][37]
90,United States (New Jersey),Newark,Newark Liberty International Airport,,[1]
91,United States (New Mexico),Albuquerque,Albuquerque International Sunport,,[1]
92,United States (New York),Albany,Albany International Airport,,[1][38]
93,United States (New York),Buffalo,Buffalo Niagara International Airport,,[1]
94,United States (New York),New York City,John F. Kennedy International Airport,Focus city,[1]
95,United States (New York),New York City,LaGuardia Airport,,[1]
96,United States (New York),Newburgh,New York Stewart International Airport,,[1]
97,United States (New York),Rochester,Greater Rochester International Airport,,[1]
98,United States (New York),Syracuse,Syracuse Hancock International Airport,,[1]
99,United States (New York),White Plains,Westchester County Airport,,[1]
100,United States (North Carolina),Charlotte,Charlotte Douglas International Airport,,[1]
101,United States (North Carolina),Raleigh,Raleigh–Durham International Airport,,[1]
102,United States (Ohio),Cleveland,Cleveland Hopkins International Airport,,[1][39]
103,United States (Ohio),Columbus,John Glenn Columbus International Airport,Terminated,[40]
104,United States (Oregon),Portland (OR),Portland International Airport,,[1]
105,United States (Pennsylvania),Philadelphia,Philadelphia International Airport,,[1]
106,United States (Pennsylvania),Pittsburgh,Pittsburgh International Airport,,[1]
107,United States (Rhode Island),Providence,T. F. Green Airport,,[1]
108,United States (South Carolina),Charleston,Charleston International Airport,,[1]
109,United States (Tennessee),Nashville,Nashville International Airport,,[1][41][42]
110,United States (Texas),Austin,Austin–Bergstrom International Airport,,[1]
111,United States (Texas),Dallas,Dallas/Fort Worth International Airport,,[1]
112,United States (Texas),Houston,George Bush Intercontinental Airport,,[1][43]
113,United States (Texas),Houston,William P. Hobby Airport,Terminated,[43]
114,United States (Texas),San Antonio,San Antonio International Airport,,[1]
115,United States (Utah),Salt Lake City,Salt Lake City International Airport,,[1]
116,United States (Vermont),Burlington,Burlington International Airport,,[1]
117,United States (Virginia),Richmond,Richmond International Airport,,[1]
118,United States (Washington),Seattle,Seattle–Tacoma International Airport,,[1]
119,United States Virgin Islands,St. Croix,Henry E. Rohlsen Airport,Terminated,[44]
120,United States Virgin Islands,St. Thomas,Cyril E. King Airport,,[1]
